Title,(M) Copies Sold,Copies Sold,As of,Release,Genre,Developers,Publishers,Meta Score,User Score,,,,,
Miitopia,1.79,"1,790,000","December 31, 2022","May 21, 2021",Role-playing,Grezzo,Nintendo,71,8.1,,,,,
Mario Kart Live: Home Circuit,1.73,"1,730,000","December 31, 2022","October 16, 2020","Kart racing
augmented reality",Velan Studios,Nintendo,75,7.1,,,,,
Fire Emblem Engage,1.61,"1,610,000","March 31, 2023","January 20, 2023",Tactical role-playing,Intelligent Systems,Nintendo,80,6.6,,,,,
Marvel Ultimate Alliance 3: The Black Order,1.60,"1,600,000","December 31, 2022","July 19, 2019",Action role-playing,Team Ninja,Nintendo,73,7.3,,,,,
Kirby's Return to Dream Land Deluxe,1.46,"1,460,000","March 31, 2023","February 24, 2023",Platformer,HAL Laboratory,Nintendo,79,8.8,,,,,
WarioWare: Get It Together!,1.34,"1,340,000","December 31, 2022","September 10, 2021",Party,Intelligent Systems,Nintendo,76,7.7,,,,,
Astral Chain,1.33,"1,330,000","December 31, 2022","August 30, 2019","Action-adventure
hack and slash",PlatinumGames,Nintendo,87,8.9,,,,,
Bayonetta,1.24,"1,240,000","December 31, 2022","February 16, 2018","Action-adventure
hack and slash",PlatinumGames,Nintendo,84,8.3,,,,,
Bayonetta 2,1.23,"1,230,000","December 31, 2022","February 16, 2018","Action-adventure
hack and slash",PlatinumGames,Nintendo,92,8.6,,,,,
Game Builder Garage,1.15,"1,150,000","December 31, 2022","June 11, 2021",Programming,Nintendo EPD,Nintendo,77,7.8,,,,,
Mario vs. Donkey Kong,1.12,"1,120,000","March 31, 2024","February 16, 2024",Puzzle-platform,Nintendo Software Technology,Nintendo,81,8.2,,,,,
Metroid Prime Remastered,1.09,"1,090,000","March 31, 2023","February 8, 2023",Action-adventure,Retro Studios,Nintendo,94,8.7,,,,,
Bayonetta 3,1.07,"1,070,000","March 31, 2023","October 28, 2022","Action-adventure
hack and slash",PlatinumGames,Nintendo,86,7.1,,,,,
Fitness Boxing,1.00,"1,000,000","September 8, 2020","December 20, 2018","Exergame
rhythm",Imagineer,"JP: Imagineer
NA/PAL: Nintendo",66,6.5,,,,,
Fire Emblem Warriors: Three Hopes,1.00,"1,000,000","August 17, 2022","June 24, 2022","Hack and slash
Role-playing",Omega Force,"JP: Koei Tecmo
NA/PAL: Nintendo",80,8.9,,,,,
