genres,release_year,meta_score,user_score
Automobile,2008,82.0,8.5
Automobile,2009,77.0,8.1
Automobile,2011,85.0,8.2
Automobile,2014,87.5,8.45
Automobile,2015,90.0,8.2
Automobile,2017,92.0,8.6
Automobile,2019,59.0,4.2
Automobile,2020,75.0,7.1
Automobile,2022,73.0,6.8
Baseball,2005,76.0,8.4
Baseball,2008,69.0,7.9
Basketball,2002,71.0,7.4
Basketball,2006,69.0,7.8
Beat-'Em-Up,2005,56.0,7.6
Beat-'Em-Up,2009,59.0,8.2
Beat-'Em-Up,2010,62.5,7.3
Beat-'Em-Up,2011,56.0,6.8
Beat-'Em-Up,2013,49.0,5.2
Beat-'Em-Up,2014,81.0,8.55
Beat-'Em-Up,2015,58.0,6.2
Beat-'Em-Up,2016,70.0,7.5
Beat-'Em-Up,2017,71.5,7.75
Beat-'Em-Up,2018,70.66666666666667,7.266666666666667
Beat-'Em-Up,2019,67.0,7.8
Beat-'Em-Up,2020,78.0,8.0
Beat-'Em-Up,2022,80.0,8.9
Board / Card Game,2006,83.0,7.8
Board / Card Game,2011,68.0,7.6
Board / Card Game,2015,46.0,4.0
Board / Card Game,2016,83.0,8.1
Board Games,2006,83.0,7.8
Board Games,2011,68.0,7.6
Boxing,2009,86.0,8.6
Boxing / Martial Arts,2009,86.0,8.6
Boxing / Martial Arts,2017,77.0,7.1
Career,2009,73.0,7.5
Career,2012,76.0,7.6
Career,2015,66.0,6.9
Career,2016,78.0,6.9
Career,2017,80.0,7.6
Civilian,2011,71.0,7.2
Civilian Plane,2011,71.0,7.2
Combat,2006,76.0,6.8
Combat,2009,86.0,8.6
Combat,2010,82.0,7.0
Combat,2011,58.0,6.3
Combat,2014,70.0,7.6
Combat,2016,69.0,7.4
Combat,2017,70.5,6.55
Combat,2019,69.0,7.6
Compilation,2002,71.0,8.1
Compilation,2009,91.0,9.2
Compilation,2010,70.0,7.8
Compilation,2011,94.0,9.0
Compilation,2012,82.0,8.9
Compilation,2015,73.0,7.6
Compilation,2018,90.0,8.7
Compilation,2020,82.0,6.4
Console-style RPG,2001,92.0,9.0
Console-style RPG,2003,86.0,8.766666666666667
Console-style RPG,2004,80.2,8.440000000000001
Console-style RPG,2005,79.4,8.5
Console-style RPG,2006,70.375,8.05
Console-style RPG,2007,86.4,8.3
Console-style RPG,2008,59.5,8.5
Console-style RPG,2009,75.66666666666667,8.9
Console-style RPG,2010,81.8,8.48
Console-style RPG,2011,82.25,7.925000000000001
Console-style RPG,2012,80.28571428571429,7.471428571428571
Console-style RPG,2013,78.75,7.4
Console-style RPG,2014,83.75,7.975
Dancing,2005,69.0,8.1
Defense,2010,82.0,7.5
Defense,2016,74.0,7.4
Driving,1996,92.0,8.3
Driving,1997,85.5,8.5
Driving,1998,85.0,8.7
Driving,2000,80.33333333333333,8.0
Driving,2001,86.33333333333333,7.933333333333334
Driving,2003,78.75,8.225
Driving,2004,71.5,8.05
Driving,2005,68.5,7.0
Driving,2006,72.0,8.3
Driving,2007,54.5,6.8
Driving,2008,82.0,8.5
Driving,2009,73.5,7.8
Driving,2011,85.0,8.2
Driving,2014,87.5,8.45
Driving,2015,90.0,8.2
Edutainment,2006,75.5,7.45
Edutainment,2007,68.0,6.0
Edutainment,2008,85.0,8.4
Edutainment,2010,75.0,7.6
Edutainment,2012,81.0,7.5
Edutainment,2013,69.0,7.2
Edutainment,2014,76.0,7.8
Edutainment,2015,82.0,7.9
Edutainment,2016,72.0,7.1
Exercise / Fitness,2008,80.0,7.7
Exercise / Fitness,2009,74.5,7.449999999999999
Exercise / Fitness,2013,72.0,7.7
Exercise / Fitness,2019,74.5,7.55
Exercise / Fitness,2020,66.0,5.7
Fantasy,1998,99.0,9.1
Fantasy,2000,95.0,9.1
Fantasy,2001,83.5,8.649999999999999
Fantasy,2002,72.5,8.3
Fantasy,2003,85.33333333333333,8.549999999999999
Fantasy,2004,88.0,8.35
Fantasy,2005,86.33333333333333,9.0
Fantasy,2006,90.25,8.95
Fantasy,2007,74.75,7.775
Fantasy,2009,81.66666666666667,7.8
Fantasy,2010,62.0,7.7
Fantasy,2011,90.66666666666667,8.200000000000001
Fantasy,2012,74.42857142857143,7.785714285714286
Fantasy,2013,82.83333333333333,8.35
Fantasy,2014,79.25,8.55
Fantasy,2015,82.66666666666667,8.666666666666666
Fantasy,2016,83.5,7.95
Fantasy,2017,96.0,8.3
Fighting,1999,79.0,8.6
Fighting,2001,92.0,9.0
Fighting,2004,65.0,8.1
Fighting,2007,74.0,8.3
Fighting,2008,93.0,8.8
Fighting,2011,37.0,4.8
Fighting,2014,84.0,8.14
Fighting,2016,76.0,7.4
Fighting,2017,77.0,7.3
Fighting,2018,93.0,8.6
Fighting,2020,65.0,7.9
First-Person,1997,96.0,8.9
First-Person,2000,97.0,8.8
First-Person,2002,97.0,9.0
First-Person,2003,55.0,6.4
First-Person,2004,92.0,8.9
First-Person,2005,66.0,8.0
First-Person,2006,85.0,7.7
First-Person,2007,90.0,8.8
First-Person,2009,91.0,9.2
First-Person,2010,67.0,8.7
First-Person,2016,69.0,6.4
First-Person,2023,94.0,8.7
Flight,2006,76.0,6.8
Flight,2011,71.0,7.2
Futuristic,1998,85.0,8.7
Futuristic,2001,86.0,7.8
Futuristic,2003,89.0,8.6
Futuristic,2004,77.0,8.3
General,1996,80.0,7.9
General,1997,90.0,8.4
General,1999,77.0,7.7
General,2000,57.0,6.3
General,2001,78.0,8.4
General,2002,71.0,8.1
General,2003,79.66666666666667,8.433333333333334
General,2004,68.66666666666667,8.033333333333333
General,2005,76.57142857142857,8.242857142857142
General,2006,69.85714285714286,7.714285714285714
General,2007,74.77777777777777,7.555555555555555
General,2008,75.05882352941177,7.923529411764705
General,2009,71.81481481481481,7.42962962962963
General,2010,74.04,7.428
General,2011,71.125,7.58125
General,2012,67.76190476190476,7.004761904761905
General,2013,72.33333333333333,7.485714285714285
General,2014,74.0,7.992857142857143
General,2015,61.285714285714285,6.428571428571429
General,2016,82.0,8.133333333333333
General,2017,69.3,7.209999999999999
General,2018,73.75,7.975
General,2019,77.66666666666667,7.566666666666666
General,2020,81.0,7.866666666666667
General,2021,71.0,8.1
General,2022,76.0,7.4
General,2023,78.0,8.666666666666666
Golf,1999,91.0,7.8
Golf,2003,81.0,8.1
Golf,2004,84.0,8.5
Golf,2006,66.0,7.7
Golf,2014,78.0,8.1
Golf,2021,70.0,5.5
Hidden Object,2011,65.0,7.4
Historic,2006,37.0,5.6
Horizontal,2017,70.0,7.2
Horror,2002,92.0,8.8
Horror,2012,54.0,6.4
Horror,2015,67.0,8.0
Individual,2006,71.0,7.9
Individual,2007,67.0,7.6
Individual,2008,70.0,7.0
Individual,2009,77.0,8.166666666666666
Individual,2012,69.0,6.9
Individual,2013,61.5,6.75
Individual,2014,78.0,8.1
Individual,2015,58.0,5.1
Individual,2016,62.5,7.300000000000001
Individual,2017,77.0,7.1
Individual,2018,75.0,7.0
Individual,2021,70.0,5.5
Individual,2022,72.0,5.9
Japanese-Style,2005,86.0,8.5
Japanese-Style,2006,69.0,7.8
Japanese-Style,2009,90.0,8.8
Japanese-Style,2010,78.33333333333333,8.033333333333333
Japanese-Style,2011,77.5,7.95
Japanese-Style,2012,75.0,5.5
Japanese-Style,2013,81.0,8.3
Japanese-Style,2014,83.33333333333333,7.833333333333333
Japanese-Style,2015,76.0,8.1
Japanese-Style,2016,78.8,7.739999999999999
Japanese-Style,2017,81.66666666666667,8.333333333333334
Japanese-Style,2018,83.0,8.4
Japanese-Style,2019,79.66666666666667,7.033333333333332
Japanese-Style,2020,81.0,6.2
Japanese-Style,2022,81.0,7.5
Kart,1997,85.5,8.5
Kart,2000,71.0,7.7
Kart,2001,93.0,8.0
Kart,2003,74.0,8.399999999999999
Kart,2005,91.0,8.7
Kart,2007,54.5,6.8
Kart,2008,82.0,8.5
Kart,2011,85.0,8.2
Kart,2014,87.66666666666667,8.533333333333333
Kart,2015,90.0,8.2
Light Gun,2007,68.0,7.1
Linear,2014,88.5,8.850000000000001
Linear,2018,88.0,8.45
Linear,2022,86.0,7.1
Linear,2023,81.0,8.6
Logic,2006,62.0,6.0
Logic,2007,83.0,7.9
Logic,2008,67.0,7.3
Logic,2010,81.0,7.733333333333333
Logic,2014,80.5,8.05
Logic,2015,75.0,7.5
Logic,2016,86.0,7.8
Marine,2011,58.0,6.3
Marine,2014,70.0,7.6
Matching,2000,81.0,8.4
Matching,2001,71.0,7.3
Matching,2004,66.0,8.2
Matching,2005,83.33333333333333,7.6000000000000005
Matching,2006,72.0,7.366666666666667
Matching,2008,71.33333333333333,8.066666666666666
Matching,2009,80.66666666666667,7.466666666666666
Matching,2014,70.0,7.3
Matching,2015,56.0,6.1
Matching,2018,76.0,7.7
Matching,2020,64.0,6.2
Metroidvania,2017,85.0,8.7
Metroidvania,2021,88.0,8.7
Military,2007,75.0,8.2
Miscellaneous,1999,79.0,8.0
Miscellaneous,2000,81.0,8.4
Miscellaneous,2001,72.5,7.75
Miscellaneous,2002,74.75,8.175
Miscellaneous,2003,79.25,8.075
Miscellaneous,2004,67.33333333333333,7.333333333333333
Miscellaneous,2005,76.71428571428571,7.7
Miscellaneous,2006,75.0,7.454545454545454
Miscellaneous,2007,72.0,6.933333333333334
Miscellaneous,2008,73.16666666666667,7.433333333333334
Miscellaneous,2009,76.0625,7.43125
Miscellaneous,2010,74.45454545454545,7.572727272727272
Miscellaneous,2011,73.66666666666667,7.5
Miscellaneous,2012,73.23076923076923,7.2846153846153845
Miscellaneous,2013,68.41666666666667,7.166666666666667
Miscellaneous,2014,73.5,7.7299999999999995
